"indicator","reportyear","FIPS","County_Name","County_FIPS","h20contam_d","h20contam_nr","h20contam_pct","h20contam_se_pct","h20contam_rse","h20contam_pctile","source","version","notes"
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650701,"Los Angeles",6037,NA,NA,237.2461131,NA,NA,76.38906711,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650702,"Los Angeles",6037,NA,NA,237.4763156,NA,NA,76.37623508,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650800,"Los Angeles",6037,NA,NA,220.2112773,NA,NA,81.6501989,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650901,"Los Angeles",6037,NA,NA,412.2878919,NA,NA,56.94854356,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650902,"Los Angeles",6037,NA,NA,403.4750506,NA,NA,57.94944181,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037651001,"Los Angeles",6037,NA,NA,417.2915755,NA,NA,56.55075067,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037651002,"Los Angeles",6037,NA,NA,186.7538948,NA,NA,85.89760041,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037651101,"Los Angeles",6037,NA,NA,217.1819555,NA,NA,82.83074554,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037651102,"Los Angeles",6037,NA,NA,188.1422964,NA,NA,85.69228795,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037651201,"Los Angeles",6037,NA,NA,211.4624539,NA,NA,83.44668292,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037651221,"Los Angeles",6037,NA,NA,188.1422964,NA,NA,85.69228795,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037651222,"Los Angeles",6037,NA,NA,188.1422964,NA,NA,85.69228795,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037651302,"Los Angeles",6037,NA,NA,253.3070662,NA,NA,74.50275889,"CES_3.0_2017","Wed13Dec17",""
